Title,Technologies,Company,Salary,English level,Url
Fullstack Engineer,"Python,CSS,Flask,HTML,JavaScript,Django,Vue,Git,Angular,Docker,PostgreSQL,HTML,PostgreSQL,Vue",First Digital Finance Corporation,$4000-6000,,https://djinni.co/jobs/619786-fullstack-engineer/
Senior Python Engineer (Integrations),"Python,API,Django,Microservice,WebSockets,FastApi,Docker,NoSQL,NoSQL",Teramind,$5500-7500,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/606509-senior-python-engineer-integrations-/
Senior/Lead Python Software Engineer,"Python,HTML,Django,Bootstrap,Vue,Git,Kubernetes,DRF,Docker,PostgreSQL,HTML,PostgreSQL,Vue",CodeIT,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/606225-senior-lead-python-software-engineer/
Middle Python Engineer (BI),"Python,API,Flask,SQLAlchemy,Git,FastApi,Pydantic,Algorithms,PostgreSQL,PostgreSQL",Teramind,$3000-7500,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/606516-middle-python-engineer-bi-/
Backend Developer (Python),"Python,API,Selenium,MongoDB,Docker,PostgreSQL,Selenium,Scrapy,PostgreSQL",SD Solutions,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/619088-backend-developer-python-/
Python Backend Engineer (Outstaff project),"Python,API,HTML,OOP,JavaScript,Django,Bootstrap,Graphql,FastApi,MySQL,HTML,Redis",MEGOGO,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/606492-python-backend-engineer-outstaff-project-/
python developer for algorithmic trading project,,NATS,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/534968-python-developer-for-algorithmic-trading-proj/
AI Python Developer,"Python,API,Kubernetes,Docker,NoSQL,NoSQL",Join.To.IT,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/619093-ai-python-developer/
Junior Python Developer,"Python,API,Flask,Machine Learning,Docker,NoSQL,Celery,Redis,NoSQL",GT-Protocol,$350-1200,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/619289-junior-python-developer/
Senior Backend Engineer (Python),"Python,React,API,AWS,Django,MongoDB,DRF,Docker,Asyncio,PostgreSQL,NoSQL,PostgreSQL,Celery,Redis,NoSQL",BCD Travel,$4000-6000,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/619242-senior-backend-engineer-python-/
Python (Django) Developer,"Python,API,Django,Graphql,Agile",Django Stars,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/574756-python-django-developer/
Middle Java Developer на long-term проект розробки інноваційного продукту,"Python,Docker,PostgreSQL,PostgreSQL",Edgica,$2500-4000,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/209026-middle-java-developer-na-long-term-proekt-roz/
Backend (Python) Software Engineer,"Python,API,JavaScript,Selenium,Linux,MongoDB,Algorithms,Docker,Asyncio,Selenium,NoSQL,Redis,NoSQL",Data Science UA,,,https://djinni.co/jobs/619193-backend-python-software-engineer/
Tech/Team Lead (Python),"Python,AWS,Machine Learning,Microservice,Docker,NoSQL,NoSQL",Quantum,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/619185-tech-team-lead-python-/
Senior Python BackEnd Engineer,"Python,API,Azure,Git,Linux,MySQL,Docker,Asyncio",VeryBusy Recruiting,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/590323-senior-python-backend-engineer/
Junior RPA developer,"Python,JavaScript",UAI Labs,до $50,"
  Англійська: Pre-Intermediate
    
  
",https://djinni.co/jobs/619246-junior-rpa-developer/
Middle Python Developer,"Python,Django,Machine Learning,Algorithms,Docker",ElifTech,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618871-middle-python-developer/
Software Engineer (Python/Golang),"Python,GCP,API,Flask,AWS,Machine Learning,Kubernetes,MongoDB,Docker,PostgreSQL,REST Api,Agile,Jira,PostgreSQL",QIT Software,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618658-software-engineer-python-golang-/
Senior Python Developer,"Python,API,Flask,SQLAlchemy,Kubernetes,FastApi,Pydantic,MongoDB,MySQL,Docker,Celery",AutoDS,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/618884-senior-python-developer/
Senior Python Developer,"Python,API,AWS,Azure,Microservice,Git,FastApi,Agile,Jira",Numerical Technologies,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/519556-senior-python-developer/
Python Engineer,"Python,React,Django",Intobi,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/473617-python-engineer/
Strong Junior Python Developer (scraping),"Python,API,Git,Linux,MySQL,Redis",Python Automation Masters,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/534705-strong-junior-python-developer-scraping-/
Fullstack Python/React Developer,"Python,GCP,CSS,React,API,Flask,JavaScript,AWS,Django,Linux,FastApi,MongoDB,Algorithms,Docker,PostgreSQL,Agile,PostgreSQL",Elementica,$2000-3800,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/515841-fullstack-python-react-developer/
Python developer / middle,"Python,API,AWS,Django,NoSQL,NoSQL",dZENcode,$1000-1700,"
  Англійська: Pre-Intermediate
    
  
",https://djinni.co/jobs/613081-python-developer-middle/
Backend Python Engineer,"Python,Jenkins,API,AWS,Django,Machine Learning,Kubernetes,MongoDB,Docker,NoSQL,Celery,NoSQL",Adaptiq,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/605125-backend-python-engineer/
Senior BE Python Developer,"Python,API,WebSockets,FastApi,MySQL",Meduzzen,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/612233-senior-be-python-developer/
"Python Engineer (Poland, Romania)","Python,Jenkins,API,AWS,Django,Machine Learning,Kubernetes,MongoDB,Docker,Celery",Adaptiq,до $6500,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618816-python-engineer-poland-romania-/
ML/CV Engineer,"Python,Algorithms",Samsung R&D Institute Ukraine,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/618760-ml-cv-engineer/
"Python Developers (Permanent/ requires relocation to Dubai, UAE)","Python,API",Aspire Technology,$7000-10000,,https://djinni.co/jobs/556815-python-developers-permanent-requires-relocati/
Python Developer,"Python,Kubernetes,Docker",Data Pro,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/67736-data-scientist/
Python Developer (Senior),"Python,API,Microservice,Algorithms",gart.tech,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/618822-python-developer-senior-/
Full-stack Developer (Python + Vue),"Python,API,JavaScript,AWS,Django,Vue,Docker,REST Api,NoSQL,Redis,Vue,NoSQL",A-LISTWARE,від $3000,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618459-full-stack-developer-python-vue-/
Python developer for global product (audit and assurance company BIG FOUR),"Python,API,Flask,Azure,Machine Learning,Git,Linux,Kubernetes,MongoDB,MySQL,Docker,PostgreSQL,REST Api,NoSQL,PostgreSQL,NoSQL",Deloitte,,"
  Англійська: Advanced/Fluent
    
  
",https://djinni.co/jobs/618462-python-developer-for-global-product-audit-and/
Data Scrap Specialist (Python),"Python,API,HTML,Git,HTML",Flai,,"
  Англійська: Pre-Intermediate
    
  
",https://djinni.co/jobs/618649-data-scrap-specialist-python-/
Middle/Senior Python+JS developer,"Python,JavaScript",Piligrim IT,$3500-4000,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618429-middle-senior-python-js-developer/
Python Developer,"Python,CSS,HTML,JavaScript,Django,Git,Angular,MySQL,HTML",Silicon Valley Commerce LLC,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/618321-python-developer/
Python Developer,"Python,API,AWS,Django,FastApi,DRF,Docker,Celery,Redis",Join.To.IT,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618509-python-developer/
Python Developer,"Python,API,SQLAlchemy,AWS,Kubernetes,FastApi,Pydantic,MySQL,Docker,Asyncio,PostgreSQL,Pipenv,PostgreSQL,Celery,Redis",Infingame,$3000-4500,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/602489-python-developer/
Senior Python Developer,"Python,API,Django,FastApi,MongoDB,DRF,Docker,PostgreSQL,REST Api,PostgreSQL,Celery",ElephantsLab,,"
  Англійська: Pre-Intermediate
    
  
",https://djinni.co/jobs/518389-senior-python-developer/
AI DEVELOPER (Construction and Business Operations),"Python,Machine Learning,Algorithms",PICHE,,"
  Англійська: Advanced/Fluent
    
  
",https://djinni.co/jobs/611705-ai-developer-construction-and-business-operat/
SENIOR or LEAD Python developer,"Python,Flask,Django,Microservice,Algorithms",PICHE,,"
  Англійська: Advanced/Fluent
    
  
",https://djinni.co/jobs/611703-senior-or-lead-python-developer/
Lead Backend Engineer (Python),"Python,Kubernetes,MongoDB,MySQL,Docker,PostgreSQL,Agile,PostgreSQL",MEGOGO,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/589032-lead-backend-engineer-python-/
Python developer,"Python,API,Django,Git,Linux,PostgreSQL,REST Api,Django Rest Framework,PostgreSQL",Project Ukraine,,,https://djinni.co/jobs/618560-python-developer/
Senior Python Engineer,"Python,CSS,API,HTML,Azure,Machine Learning,Git,Algorithms,Agile,HTML",GlobalLogic,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618629-senior-python-engineer/
Senior/Principal Python Developer,"Python,React,API,JavaScript,AWS",Sigma Software,$4000-6000,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618512-senior-principal-python-developer/
Open Omniverse UI / Extension developer,"Python,Git",StartupSoft,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618639-open-omniverse-ui-extension-developer/
Python Developer,"Python,Flask,AWS,Django,Azure,Microservice,Algorithms",Valor Software,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618014-python-developer/
Full-stack Developer (Python + Vue),"Python,API,JavaScript,AWS,Django,Vue,Docker,REST Api,NoSQL,Redis,Vue,NoSQL",A-LISTWARE,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618222-full-stack-developer-python-vue-/
Data Engineer (Python),"Python,JavaScript,Django,Machine Learning,Linux,Algorithms,Docker",FF Group,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/603142-data-engineer-python-/
Python Tech Lead (Automation team),"Python,API,AWS,REST Api",Ajax Systems,,"
  Англійська: Pre-Intermediate
    
  
",https://djinni.co/jobs/610335-python-tech-lead-automation-team-/
FullStack (Python/React.js) Tech Lead,"Python,React,API,Django,Git,DRF,Docker,Celery",Raccoon Gang,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/610199-fullstack-python-react-js-tech-lead/
Python Developer with Murex Experience,Python,Gransoft solutions,$900-1700,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617978-python-developer-with-murex-experience/
python developer with a focus on WebRTC,"Python,Django,Git",ROL KC (MK GROUP),$900-1700,,https://djinni.co/jobs/618038-python-developer-with-a-focus-on-webrtc/
Python (Django) Engineer,"Python,API,AWS,Django,Graphql,FastApi,Asyncio",Softwarium,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/607138-python-django-engineer/
Middle Python Developer,Git,Cloudy Construction,$900-1700,"
  Англійська: Pre-Intermediate
    
  
",https://djinni.co/jobs/618168-middle-python-developer/
Python (Django) Developer,"Python,AWS,Django,Git",Join.To.IT,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/600288-python-django-developer/
Computer Vision Algorithms Developer,"Python,AWS,Machine Learning,Algorithms",MoveUp Recruitment agency,$7000-8000,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618141-computer-vision-algorithms-developer/
Computer Vision Algorithms Developer for Visual Intelligence Company,"Python,API,OOP,AWS,Machine Learning,Algorithms",MoveUp Recruitment agency,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618142-computer-vision-algorithms-developer-for-visu/
Computer Vision Algorithms Developer,"Python,API,AWS,Machine Learning,Algorithms",MoveUp Recruitment agency,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618143-computer-vision-algorithms-developer/
Senior Python Developer,"Python,API,WebSockets,FastApi,MySQL",Meduzzen,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/618203-senior-python-developer/
Senior Python Engineer (only in Poland),"Python,Jenkins,API,AWS,Django,Machine Learning,Kubernetes,MongoDB,Docker,Celery",Adaptiq,до $6500,"
  Англійська: Advanced/Fluent
    
  
",https://djinni.co/jobs/618174-senior-python-engineer-only-in-poland-/
Python developer with DevOps experience,"Python,Jenkins,Machine Learning,Git,Kubernetes,Docker",Jito.dev,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617716-python-developer-with-devops-experience/
Python Developer/Data Engineer,"Python,Git",Ajax Systems,,,https://djinni.co/jobs/547702-python-developer-data-engineer/
Senior Python Engineer,"Python,API,Flask,Django,MySQL,PostgreSQL,PostgreSQL",HebronSoft,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/617674-senior-python-engineer/
Senior Python Developer for AI Project (Location - Germany only) qp,"Python,AWS,Machine Learning,Kubernetes,Algorithms,Docker",Confitech Dienstleistungs GmbH,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617750-senior-python-developer-for-ai-project-locati/
Junior Backend Developer (Python + Django),"Python,API,Django,Git",Devsteam.cloud,$900-1300,,https://djinni.co/jobs/617671-junior-backend-developer-python-django-/
Middle/Senior BE engineer with Python knowledge,"Python,CSS,HTML,JavaScript,Django,MySQL,HTML",Global17 East,,"
  Англійська: Advanced/Fluent
    
  
",https://djinni.co/jobs/610740-middle-senior-be-engineer-with-python-knowled/
Senior Python Developer,"Python,API,OOP,AWS,Microservice,Git,Graphql,Agile",Luxoft,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617628-senior-python-developer/
Full Stack Developer (Python),"Python,React,AWS,Django,Angular",Murano Software,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617878-full-stack-developer-python-/
Senior Python Developer,"Python,API,OOP,AWS,Microservice,Git,Graphql,Agile",Luxoft,$2000-3800,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617626-senior-python-developer/
Senior Python-focused engineer with BE knowledge,"Python,CSS,HTML,JavaScript,Django,MySQL,HTML",Global17 East,,"
  Англійська: Advanced/Fluent
    
  
",https://djinni.co/jobs/610737-senior-python-focused-engineer-with-be-knowle/
Python Developer/AI Specialist (part - time),"Python,OOP,Machine Learning",Softermii,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617809-python-developer-ai-specialist-part-time-/
Senior Python Developer,"Python,API,OOP,AWS,Microservice,Git,Graphql,Agile",Luxoft,$5500-6200,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617632-senior-python-developer/
Python Developer,"Python,API,OOP,AWS,Microservice,Git,Graphql,Agile",Luxoft,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617630-python-developer/
Senior Python Developer,"Python,API,OOP,AWS,Microservice,Git,Graphql,Agile",Luxoft,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617631-senior-python-developer/
Senior Python/Django Engineer,"Python,AWS,Django,Kubernetes,MySQL,Docker",at Apexive,від $3000,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/538539-senior-python-django-engineer/
Python Developer,"Python,API,OOP,AWS,Microservice,Git,Graphql,Agile",Luxoft,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617625-python-developer/
Python (Django) Developer,"Python,CSS,API,Flask,HTML,Django,MongoDB,MySQL,PostgreSQL,REST Api,HTML,PostgreSQL,Celery,Redis",PLANEKS,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/564486-python-django-developer/
Senior Python Developer,"Python,Jenkins,API,OOP,Machine Learning,Microservice,Git,MongoDB,MySQL,Docker,PostgreSQL,Agile,PostgreSQL",KISS Software,,,https://djinni.co/jobs/569009-senior-python-developer/
Senior Python developer for an AI startup,"Python,API,AWS,Microservice",Qualicode,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617294-senior-python-developer-for-an-ai-startup/
Senior Python Developer (Django),"Python,AWS,Django,Django Rest Framework",Quintagroup,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/590172-senior-python-developer-django-/
Senior Software Engineer (IoT),"GCP,AWS,Git",Quintagroup,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/582729-senior-software-engineer-iot-/
IoT developer  (LoRaWAN),"Python,GCP,AWS,Django,Git",Quintagroup,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/581699-iot-developer-lorawan-/
Senior Python Developer,"Python,API,AWS,Azure,Machine Learning,Git,Kubernetes,FastApi,Docker,Agile",Trinetix,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617482-senior-python-developer/
Python Developer,"Python,API,AWS,Azure,Machine Learning,Git,Kubernetes,FastApi,Docker,Agile",Trinetix,$900-1700,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617478-python-developer/
Senior Python Engineer IRC206424,"Python,API,Flask,Django,Azure,Microservice,Git,Kubernetes,MongoDB,Docker,PostgreSQL,PostgreSQL",GlobalLogic,$3000-7500,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617387-senior-python-engineer-irc206424/
Python Developer (Data engineering),"Python,API,Kafka,AWS,Machine Learning,PostgreSQL,NoSQL,PostgreSQL,Redis,NoSQL",Dataforest,$800-1500,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/587240-python-developer-data-engineering-/
"Senior Python Developer(AI, ML experience)","Python,API,AWS,Azure,Machine Learning,Git,Kubernetes,FastApi,Docker,Agile",Trinetix,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617498-senior-python-developer-ai-ml-experience-/
Middle Python Developer with Experience in ML/NLP frameworks,"Python,GCP,React,API,AWS,Azure,Machine Learning,Git,Kubernetes,Docker",SFox GmbH,$3000-4500,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617494-middle-python-developer-with-experience-in-ml/
Middle Python Developer,"Python,API,AWS,Azure,Machine Learning,Git,Kubernetes,FastApi,Docker,Agile",Trinetix,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617495-middle-python-developer/
Middle Python Developer,"Python,CSS,React,API,Flask,HTML,Django,Selenium,Vue,Git,Docker,Selenium,HTML,Vue",Leadsdoit,,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/594587-middle-python-developer/
Lead AI Engineer,"Python,Machine Learning,Algorithms",1touch,,"
  Англійська: Pre-Intermediate
    
  
",https://djinni.co/jobs/598281-lead-ai-engineer/
Python Developer in Test (Apps),"Python,Jenkins,Linux",Ajax Systems,,,https://djinni.co/jobs/555456-python-developer-in-test-apps-/
Python Developer,"Python,CSS,API,HTML,REST Api,HTML",Lumitech,$800-1500,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/617286-python-developer/
Senior Python Backend Engineer,"Python,GCP,API,OOP,AWS,Django,Linux,Kubernetes,MongoDB,DRF,Docker,PostgreSQL,REST Api,Agile,NoSQL,PostgreSQL,Redis,NoSQL",Develux,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/616812-senior-python-backend-engineer/
Python Developer,"Python,API,Django,Git,Linux,FastApi,REST Api,NoSQL,NoSQL",Uni Agency,,"
  Англійська: Upper-Intermediate
    
  
",https://djinni.co/jobs/616889-python-developer/
Middle Python Developer,"Python,API,Django,Git,WebSockets,Angular,DRF,Algorithms,PostgreSQL,Nginx,PostgreSQL,Celery,Redis",ISI Technology,$1500-3000,"
  Англійська: Intermediate
    
  
",https://djinni.co/jobs/616960-middle-python-developer/
